attribute,category,num_samples,accuracy,roc
age,adult,3692,0.7413,0.7754
age,elder,344,0.779,0.7989
age,underage,27,1,-1
sex,Female,1468,0.8562,0.8
sex,Male,2595,0.6836,0.7369
race,White,3256,0.7266,0.7676
race,Black,485,0.8474,0.7688
race,Asian-Pac-Islander,213,0.7605,0.8026
race,Amer-Indian-Eskimo,59,0.8474,0.7672
race,Other,50,0.84,0.7651
occupation,Prof-specialty,632,0.6835,0.7279
occupation,Tech-support,145,0.7517,0.7976
occupation,Protective-serv,109,0.6055,0.6968
occupation,Other-service,464,0.9116,0.5534
occupation,Exec-managerial,541,0.6247,0.6613
occupation,Farming-fishing,157,0.828,0.6503
occupation,Machine-op-inspct,223,0.7623,0.8236
occupation,Transport-moving,217,0.682,0.7257
occupation,Sales,468,0.735,0.781
occupation,Craft-repair,418,0.6818,0.7316
occupation,Adm-clerical,501,0.8323,0.8357
occupation,Handlers-cleaners,163,0.8834,0.7813
occupation,Priv-house-serv,24,1,-1
occupation,Armed-Forces,1,1,-1
workclass,Private,2675,0.7678,0.7906
workclass,Self-emp-inc,187,0.6737,0.67
workclass,Self-emp-not-inc,436,0.6077,0.6834
workclass,Local-gov,365,0.7479,0.7642
workclass,State-gov,240,0.7958,0.8219
workclass,Federal-gov,157,0.7643,0.7943
workclass,Without-pay,3,1,-1
marital-status,Married-civ-spouse,1793,0.5733,0.6054
marital-status,Never-married,1167,0.8963,0.6314
marital-status,Divorced,685,0.8379,0.6585
marital-status,Separated,177,0.9265,0.5599
marital-status,Widowed,155,0.929,0.8221
marital-status,Married-spouse-absent,78,0.8974,0.6657
marital-status,Married-AF-spouse,8,0.625,0.7
